id,mimeType,createdAt
img_avatar_alice,image/png,2025-01-01 00:00:00
img_avatar_bob,image/png,2025-01-01 00:00:00
img_avatar_carol,image/png,2025-01-01 00:00:00
img_avatar_dave,image/png,2025-01-01 00:00:00
img_city_paris,image/png,2025-01-01 00:00:00
img_city_rome,image/png,2025-01-01 00:00:00
img_city_tokyo,image/png,2025-01-01 00:00:00
img_city_bali,image/png,2025-01-01 00:00:00
img_city_nyc,image/png,2025-01-01 00:00:00
img_trip_europe,image/png,2025-01-01 00:00:00
img_trip_sea,image/png,2025-01-01 00:00:00
img_trip_usa,image/png,2025-01-01 00:00:00
img_act_eiffel,image/png,2025-01-01 00:00:00
img_act_louvre,image/png,2025-01-01 00:00:00
img_act_colosseum,image/png,2025-01-01 00:00:00
img_act_shibuya,image/png,2025-01-01 00:00:00
img_act_ubud,image/png,2025-01-01 00:00:00
img_act_liberty,image/png,2025-01-01 00:00:00
img_act_highline,image/png,2025-01-01 00:00:00
