id,tripId,label,category,packed
pk_01,trip_europe,Passport,documents,true
pk_02,trip_europe,Travel insurance certificate,documents,true
pk_03,trip_europe,EU adapter plug,electronics,false
pk_04,trip_europe,Light rain jacket,clothing,false
pk_05,trip_europe,Walking shoes,clothing,true
pk_06,trip_europe,Portable charger,electronics,false
pk_07,trip_europe,Sunscreen SPF 50,toiletries,false
pk_08,trip_sea,Passport,documents,true
pk_09,trip_sea,Japan Rail Pass,documents,true
pk_10,trip_sea,Mosquito repellent,toiletries,true
pk_11,trip_sea,Swimwear x3,clothing,true
pk_12,trip_sea,Sarong (temple visits),clothing,true
pk_13,trip_sea,Universal travel adapter,electronics,true
pk_14,trip_usa,Passport / ESTA,documents,true
pk_15,trip_usa,Broadway tickets (printed),documents,false
pk_16,trip_usa,Comfortable sneakers,clothing,true
pk_17,trip_usa,Light jacket,clothing,true
