id,tripId,cityId,startDate,endDate,budget,notes,order
stop_001,trip_001,city_paris,2025-10-16,2025-10-21,632.36,Explore the best of Paris during this leg.,1
stop_002,trip_002,city_rome,2025-03-22,2025-03-26,764.15,Explore the best of Rome during this leg.,1
stop_003,trip_003,city_tokyo,2025-05-15,2025-05-18,387.69,Explore the best of Tokyo during this leg.,1
stop_004,trip_004,city_new_york,2025-09-15,2025-09-17,521.56,Explore the best of New York during this leg.,1
stop_005,trip_005,city_bangkok,2025-10-21,2025-10-23,1027.48,Explore the best of Bangkok during this leg.,1
stop_006,trip_006,city_barcelona,2025-04-21,2025-04-25,971.92,Explore the best of Barcelona during this leg.,1
stop_007,trip_007,city_bali,2025-09-27,2025-09-30,686.36,Explore the best of Bali during this leg.,1
stop_008,trip_008,city_amsterdam,2025-10-29,2025-10-31,816.22,Explore the best of Amsterdam during this leg.,1
stop_009,trip_009,city_sydney,2025-09-22,2025-09-24,495.79,Explore the best of Sydney during this leg.,1
stop_010,trip_010,city_dubai,2025-06-30,2025-07-02,796.83,Explore the best of Dubai during this leg.,1
stop_011,trip_011,city_istanbul,2025-08-20,2025-08-23,1189.14,Explore the best of Istanbul during this leg.,1
stop_012,trip_012,city_prague,2025-04-20,2025-04-23,601.09,Explore the best of Prague during this leg.,1
stop_013,trip_013,city_lisbon,2025-07-16,2025-07-21,513.49,Explore the best of Lisbon during this leg.,1
stop_014,trip_014,city_singapore,2025-10-13,2025-10-15,867.39,Explore the best of Singapore during this leg.,1
stop_015,trip_015,city_cape_town,2025-03-29,2025-04-01,1063.49,Explore the best of Cape Town during this leg.,1
stop_016,trip_016,city_mexico_city,2025-05-09,2025-05-14,562.85,Explore the best of Mexico City during this leg.,1
stop_017,trip_017,city_cairo,2025-07-06,2025-07-08,117.85,Explore the best of Cairo during this leg.,1
stop_018,trip_018,city_buenos_aires,2025-06-10,2025-06-12,1369.63,Explore the best of Buenos Aires during this leg.,1
stop_019,trip_019,city_vienna,2025-05-03,2025-05-08,308.8,Explore the best of Vienna during this leg.,1
stop_020,trip_020,city_seoul,2025-10-15,2025-10-17,1191.34,Explore the best of Seoul during this leg.,1
stop_021,trip_021,city_marrakech,2025-05-23,2025-05-25,1112.99,Explore the best of Marrakech during this leg.,1
stop_022,trip_022,city_kyoto,2025-05-23,2025-05-25,1366.69,Explore the best of Kyoto during this leg.,1
stop_023,trip_023,city_london,2025-06-14,2025-06-17,739.45,Explore the best of London during this leg.,1
stop_024,trip_024,city_zurich,2025-05-07,2025-05-11,469.78,Explore the best of Zurich during this leg.,1
stop_025,trip_025,city_copenhagen,2025-07-08,2025-07-10,239.73,Explore the best of Copenhagen during this leg.,1
