id,stopId,activityId,scheduledAt,costOverride
sa_001,stop_001,act_001,2025-10-16 11:00:00,
sa_002,stop_002,act_002,2025-03-22 18:00:00,83.13
sa_003,stop_003,act_003,2025-05-15 16:00:00,126.45
sa_004,stop_004,act_004,2025-09-15 08:00:00,39.82
sa_005,stop_005,act_005,2025-10-21 15:00:00,175.19
sa_006,stop_006,act_006,2025-04-21 09:00:00,70.92
sa_007,stop_007,act_007,2025-09-27 13:00:00,19.57
sa_008,stop_008,act_008,2025-10-29 11:00:00,
sa_009,stop_009,act_009,2025-09-22 14:00:00,
sa_010,stop_010,act_010,2025-06-30 11:00:00,
sa_011,stop_011,act_011,2025-08-20 15:00:00,95.14
sa_012,stop_012,act_012,2025-04-20 15:00:00,
sa_013,stop_013,act_013,2025-07-16 09:00:00,151.6
sa_014,stop_014,act_014,2025-10-13 08:00:00,
sa_015,stop_015,act_015,2025-03-29 14:00:00,
sa_016,stop_016,act_016,2025-05-09 16:00:00,
sa_017,stop_017,act_017,2025-07-06 09:00:00,193.0
sa_018,stop_018,act_018,2025-06-10 18:00:00,
sa_019,stop_019,act_019,2025-05-03 16:00:00,
sa_020,stop_020,act_020,2025-10-15 18:00:00,190.57
sa_021,stop_021,act_021,2025-05-23 13:00:00,165.15
sa_022,stop_022,act_022,2025-05-23 15:00:00,
sa_023,stop_023,act_023,2025-06-14 17:00:00,
sa_024,stop_024,act_024,2025-05-07 18:00:00,
sa_025,stop_025,act_025,2025-07-08 15:00:00,
sa_026,stop_026,act_026,2025-09-09 18:00:00,
sa_027,stop_027,act_027,2025-11-22 13:00:00,
sa_028,stop_028,act_028,2025-09-08 18:00:00,65.48
sa_029,stop_029,act_029,2025-04-02 16:00:00,
sa_030,stop_030,act_030,2025-07-31 09:00:00,
sa_031,stop_031,act_031,2025-09-23 10:00:00,
sa_032,stop_032,act_032,2025-11-10 14:00:00,
sa_033,stop_033,act_033,2025-03-19 17:00:00,
sa_034,stop_034,act_034,2025-11-29 09:00:00,84.65
sa_035,stop_035,act_035,2025-08-01 15:00:00,46.21
sa_036,stop_036,act_036,2025-07-11 13:00:00,
sa_037,stop_037,act_037,2025-04-15 14:00:00,
sa_038,stop_038,act_038,2025-08-17 18:00:00,121.87
sa_039,stop_039,act_039,2025-10-27 15:00:00,
sa_040,stop_040,act_040,2025-05-01 17:00:00,35.58
sa_041,stop_041,act_041,2025-05-17 15:00:00,
sa_042,stop_042,act_042,2025-05-13 08:00:00,
sa_043,stop_043,act_043,2025-05-30 14:00:00,101.76
sa_044,stop_044,act_044,2025-05-26 16:00:00,182.93
sa_045,stop_045,act_045,2025-10-09 17:00:00,
sa_046,stop_046,act_046,2025-03-03 10:00:00,
sa_047,stop_047,act_047,2025-11-27 18:00:00,177.71
sa_048,stop_048,act_048,2025-08-24 16:00:00,89.55
sa_049,stop_049,act_049,2025-08-04 17:00:00,154.85
sa_050,stop_050,act_050,2025-10-20 12:00:00,
sa_051,stop_051,act_051,2025-11-06 13:00:00,96.04
sa_052,stop_052,act_052,2025-06-25 10:00:00,
sa_053,stop_053,act_053,2025-11-14 17:00:00,152.2
sa_054,stop_054,act_054,2025-07-09 12:00:00,114.08
sa_055,stop_055,act_055,2025-04-25 13:00:00,187.75
