id,ownerId,name,description,coverImageId,startDate,endDate,budget,status,isPublic,shareToken,createdAt
trip_001,usr_alice00,European Summer Adventure,An amazing journey: European Summer Adventure.,img_trip_001,2025-10-16,2025-10-28,7791.24,planned,True,share-000-european-summer,2024-11-17 00:00:00
trip_002,usr_bob01,Southeast Asia Wanderlust,An amazing journey: Southeast Asia Wanderlust.,img_trip_002,2025-03-22,2025-04-11,7912.1,completed,True,share-001-southeast-asia-,2024-11-26 00:00:00
trip_003,usr_carol02,USA Road Trip,An amazing journey: USA Road Trip.,img_trip_003,2025-05-15,2025-06-10,2898.12,draft,False,,2024-11-12 00:00:00
trip_004,usr_dave03,Japan Cherry Blossom,An amazing journey: Japan Cherry Blossom.,img_trip_004,2025-09-15,2025-10-09,4640.41,active,False,,2025-01-06 00:00:00
trip_005,usr_eve04,Morocco Magic,An amazing journey: Morocco Magic.,img_trip_005,2025-10-21,2025-10-28,1343.89,planned,False,,2024-11-19 00:00:00
trip_006,usr_frank05,Scandinavia Explorer,An amazing journey: Scandinavia Explorer.,img_trip_006,2025-04-21,2025-05-01,6393.09,cancelled,True,share-005-scandinavia-exp,2024-12-15 00:00:00
trip_007,usr_grace06,South American Dream,An amazing journey: South American Dream.,img_trip_007,2025-09-27,2025-10-12,5410.91,cancelled,False,,2025-01-17 00:00:00
trip_008,usr_hank07,Middle East Journey,An amazing journey: Middle East Journey.,img_trip_008,2025-10-29,2025-11-06,2565.61,planned,True,share-007-middle-east-jou,2025-01-19 00:00:00
trip_009,usr_iris08,Australia & NZ Tour,An amazing journey: Australia & NZ Tour.,img_trip_009,2025-09-22,2025-09-30,7171.81,active,False,,2025-01-28 00:00:00
trip_010,usr_jack09,East African Safari,An amazing journey: East African Safari.,img_trip_010,2025-06-30,2025-07-08,7406.26,active,False,,2024-11-03 00:00:00
trip_011,usr_karen10,Caribbean Escape,An amazing journey: Caribbean Escape.,img_trip_011,2025-08-20,2025-09-05,2602.6,completed,False,,2025-01-29 00:00:00
trip_012,usr_leo11,Balkan Discovery,An amazing journey: Balkan Discovery.,img_trip_012,2025-04-20,2025-05-04,2753.6,completed,True,share-011-balkan-discover,2024-12-12 00:00:00
trip_013,usr_mona12,Greek Islands Hop,An amazing journey: Greek Islands Hop.,img_trip_013,2025-07-16,2025-08-15,5037.34,draft,False,,2024-11-25 00:00:00
trip_014,usr_neil13,Central America Trek,An amazing journey: Central America Trek.,img_trip_014,2025-10-13,2025-10-26,6057.09,cancelled,False,,2024-12-18 00:00:00
trip_015,usr_olivia14,Silk Road Adventure,An amazing journey: Silk Road Adventure.,img_trip_015,2025-03-29,2025-04-21,992.13,cancelled,True,share-014-silk-road-adven,2024-12-22 00:00:00
trip_016,usr_pete15,Transatlantic Rail,An amazing journey: Transatlantic Rail.,img_trip_016,2025-05-09,2025-06-01,1803.03,planned,True,share-015-transatlantic-r,2024-11-08 00:00:00
trip_017,usr_quinn16,Pacific Islands Tour,An amazing journey: Pacific Islands Tour.,img_trip_017,2025-07-06,2025-07-14,879.19,active,False,,2025-01-30 00:00:00
trip_018,usr_rose17,Alpine Escape,An amazing journey: Alpine Escape.,img_trip_018,2025-06-10,2025-06-25,6676.3,cancelled,False,,2024-12-21 00:00:00
trip_019,usr_sam18,Mediterranean Cruise,An amazing journey: Mediterranean Cruise.,img_trip_019,2025-05-03,2025-05-31,2314.54,completed,True,share-018-mediterranean-c,2025-01-16 00:00:00
trip_020,usr_tara19,Digital Nomad Europe,An amazing journey: Digital Nomad Europe.,img_trip_020,2025-10-15,2025-10-27,4901.6,active,False,,2024-12-15 00:00:00
trip_021,usr_uma20,Backpacking SE Asia,An amazing journey: Backpacking SE Asia.,img_trip_021,2025-05-23,2025-06-07,2638.02,completed,True,share-020-backpacking-se-,2024-11-07 00:00:00
trip_022,usr_vince21,Epic US National Parks,An amazing journey: Epic US National Parks.,img_trip_022,2025-05-23,2025-06-17,6928.33,planned,True,share-021-epic-us-nationa,2025-01-26 00:00:00
trip_023,usr_wendy22,Canadian Rockies,An amazing journey: Canadian Rockies.,img_trip_023,2025-06-14,2025-06-29,4349.61,draft,False,,2024-12-31 00:00:00
trip_024,usr_xander23,West Africa Discovery,An amazing journey: West Africa Discovery.,img_trip_024,2025-05-07,2025-06-03,5008.56,draft,True,share-023-west-africa-dis,2024-11-29 00:00:00
